First name,Last name,Preferred title,Overview,Position,Department,Individual
Gary,Acuff,Professor,,Professor,Nutrition,https://scholars.library.tamu.edu/vivo/display/n8447eb1d
Amanda,Adams,Lecturer,,Lecturer,Biology,https://scholars.library.tamu.edu/vivo/display/nad7c1e41
Brent,Adams,Executive Professor,,Executive Professor,Finance,https://scholars.library.tamu.edu/vivo/display/nbc1beba6
Christine,Adams,TTI Assistant Research Scientist,,TTI Assistant Research Scientist,Center for Drug and Alcohol Education,https://scholars.library.tamu.edu/vivo/display/n3f596746
George,Adams,Senior Lecturer,,Senior Lecturer,International Studies,https://scholars.library.tamu.edu/vivo/display/n366602f4
Harold,Adams,Professor of the Practice,,Professor of the Practice,College of Architecture,https://scholars.library.tamu.edu/vivo/display/nd9cc7c3c
Leslie,Adams,Senior Professor - Term Appointment,"My research is focused on the: 1) investigation of the comparative molecular pathogenesis of zoonotic intracellular bacterial pathogens in natural animal models, particularly brucellosis, salmonellosis, and mycobacterial diseases; 2) development of vaccines and host gene expression-based diagnostics for zoonotic and select agent caused diseases, and especially 3) development of in silico host:pathogen interactome predictive models based upon bi-directional in vivo host (bovine/murine) and Brucella spp., Mycobacterium spp.and Salmonella enterica Typhimurium interactions. We developed an in silico computational infection biology model based on actuall temporal in vivo bovine model microarray-based transcriptomic and proteomic profiling of the acute infectious process. We developed a systems biology analysis of both host and pathogen comprehensive transcriptomic and proteomic datasets derived from our in vivo biological model. We computationally fused the datasets based on actual Salmonella, Brucella and Mycobacterium data and computationally predicted bovine host structural proteins to identify maximum likelihoods of host and pathogen protein:protein interactions as the basis for our preliminary in silico interactome model to predict mechanistic genes and linked perturbed cellular pathways.",Senior Professor - Term Appointment,Veterinary Pathobiology,https://scholars.library.tamu.edu/vivo/display/n75fee121
Marvin,Adams,Professor,Key terms:<br /><br />computational transport<br /><br />predictive science and engineering<br /><br />uncertainty quantification,HTRI Professor of Nuclear Engineering||Faculty Affiliate,Energy Institute||Nuclear Engineering,https://scholars.library.tamu.edu/vivo/display/ned074249
Rae,Adams,Clinical Associate Professor,,Clinical Associate Professor,Primary Care Medicine,https://scholars.library.tamu.edu/vivo/display/nba1f2d25
Terry,Adams,Adjunct Assistant Professor,,Adjunct Assistant Professor,Orthodontics,https://scholars.library.tamu.edu/vivo/display/nb9504dff
Luiza,Adamyan,Lecturer,,Lecturer,Hispanic Studies,https://scholars.library.tamu.edu/vivo/display/n8dc5604b
Zachary,Adelman,Professor,,Associate Professor,Entomology,https://scholars.library.tamu.edu/vivo/display/ndc81a8e5
Patricia,Adesanya,Adjunct Assistant Professor,,Adjunct Assistant Professor,Restorative Sciences,https://scholars.library.tamu.edu/vivo/display/n695162e1
Anthony,Adesemoye,Associate Research Scientist,"Leadership in the development of sustainable solutions for crop enhancement and crop protection. Expertise in plant growth promoting rhizobacteria (PGPR)-enhanced crop production, tripartite PGPR-plant-pathogen/pest interactions, fungal pathogenicity versus tripartite interactions, metabolomics, microbiome, and community sequencing.",Associate Research Scientist,Entomology,https://scholars.library.tamu.edu/vivo/display/nc437dedb
Grace,Adinku,Lecturer,,Lecturer,Performance Studies,https://scholars.library.tamu.edu/vivo/display/nbbe18359
Isaac,Adjei,Assistant Professor,"Dr. Isaac Adjei's goals are to advance translatable strategies to understand, treat and diagnose cancer, and in the process educate the next generation of scientists. His research focuses on developing drug delivery systems that improve outcomes for advanced-stage cancer. He also studies the mechanisms of tumor immune evasion using three-dimensional tumor models, with the goal of developing novel strategies to reactivate the immune system against tumors.",Assistant Professor,Biomedical Engineering,https://scholars.library.tamu.edu/vivo/display/nce137c7b
Philip,Adsley,Assistant Professor,,Assistant Professor,Physics and Astronomy,https://scholars.library.tamu.edu/vivo/display/n77b6dbb1
Mawuli,Afenyo,Assistant Professor,,Assistant Professor,Maritime Business Admininstration,https://scholars.library.tamu.edu/vivo/display/n44ab5684
Satish,Agadi,Clinical Assistant Professor,,Clinical Assistant Professor,College of Medicine,https://scholars.library.tamu.edu/vivo/display/n0e788fcb
Girish,Agarwal,Professor,,Distinguished Professor,Biological and Agricultural Engineering,https://scholars.library.tamu.edu/vivo/display/nc81dc8b3
Glenn,Agnolet,Professor,,Professor,Physics and Astronomy,https://scholars.library.tamu.edu/vivo/display/n32838e56
Dottiedee,Agnor,Instructional Associate Professor,,Instructional Associate Professor,Health and Kinesiology,https://scholars.library.tamu.edu/vivo/display/ne7aaf28b
Anupam,Agrawal,Associate Professor,"I research, teach, and have worked in the arena of Supply Chain Management (SCM).  My academic research has two streams. The first stream focuses on how buyers and suppliers can work together, how supply chains learn, and how this learning can depreciate.  The second stream looks at how firms can benefit from better raw materials sourcing and new manufacturing techniques for producing these raw materials, inlcuding Nanomachining.",Associate Professor,Information and Operations Management,https://scholars.library.tamu.edu/vivo/display/n0c5994ce
Guillermo,Aguilar-Mendoza,Professor and Head,,Professor and Head,Mechanical Engineering,https://scholars.library.tamu.edu/vivo/display/n10fcdfba
Robert,Ahdieh,Dean,,Dean,School of Law,https://scholars.library.tamu.edu/vivo/display/n65ba994c
Anwer,Ahmed,Professor,"My research covers topics in Corporate Governance, International Financial Reporting Standards, Earnings Management, Accounting Conservatism, and Behavioral Finance.",Professor,Accounting,https://scholars.library.tamu.edu/vivo/display/ndcac0c82
Karim,Ahmed,Assistant Professor - Term Appoint,"Modeling and simulations of irradiation effects in nuclear materials, Multi-scale modeling of materials, co-evolution of microstructure and physical properties of materials under extreme conditions.",Assistant Professor - Term Appoint,Nuclear Engineering,https://scholars.library.tamu.edu/vivo/display/n10b5b153
Tanzir,Ahmed,Instructional Asst Professor- Term Appt,,Instructional Asst Professor- Term Appt,Computer Science and Engineering,https://scholars.library.tamu.edu/vivo/display/na0d0e347
Changbum,Ahn,Associate Professor,,Associate Professor,Construction Science,https://scholars.library.tamu.edu/vivo/display/n21443743
Kathleen,Aicher,Clinical Assistant Professor,,Clinical Assistant Professor,Small Animal Clinical Sciences,https://scholars.library.tamu.edu/vivo/display/n35443093
Khadija,Ait El Cadi,Library Specialist I,,,,https://scholars.library.tamu.edu/vivo/display/nea4f3991
Koichiro,Aitani,Associate Professor,,Associate Professor,Architecture,https://scholars.library.tamu.edu/vivo/display/n63a5131e
Jacqueline,Aitkenhead,Associate Professor,"My research focuses on carbon and nutrient dynamics in urban and rural soil, runoff and surface water. I am a PI on the Scotts Company/Texas A & M (24 plot) runoff research facility where I have examined runoff carbon and nutrient concentrations and exports from warm-season turfgrass under fertilization, wetting agent and deficit irrigation treatments. Other work has investigated extractable soil nutrients in Texas and Ghana under tillage and cropping treatments; and iron and zinc for sorghum in Mali.  The investigation of carbon and nutrients released from decomposing mammals (mainly humans) with a view to estimating post-mortem interval is a relatively new field; decomposing mammals introduce another source of carbon and nutrients into the soil environment which is under researched.  To expand soil science in forensics, soil has been used in training of human remains detection dogs in terms of odor and texture. An expansion of this forensic research is the development of use of UV-Vis-NIR spectroscopy with statistical models for trace soil evidence for a) determining percent similarity of soils and b) post-mortem interval prediction.",Associate Professor,Soil and Crop Sciences,https://scholars.library.tamu.edu/vivo/display/n7ad239ab
Mustafa,Akbulut,Associate Professor,"The Akbulut Lab is involved in research in various areas of nanotechnology, surface and interface science, with a special focus on the areas of drug delivery, biomedical interfaces, tribology, surface and intermolecular forces, colloidal stabilization, and crystallization.",Associate Professor||Faculty Affiliate||Associate Professor,Energy Institute||Chemical Engineering||Materials Science and Engineering,https://scholars.library.tamu.edu/vivo/display/nb5e5f93d
Alexey,Akimov,Dr,"My research focuses on quantum optics, quantum interfaces, nanoscale sensors, solid-state atom-like systems, integrated photonic and plasmonic structures, ultracold atoms, laser spectroscopy, quantum information proceessing and simulations.",Associate Professor,Physics and Astronomy,https://scholars.library.tamu.edu/vivo/display/n6d716988
Marvellous,Akinlotan,Research Assistant Professor,,Research Assistant Professor,College of Nursing,https://scholars.library.tamu.edu/vivo/display/nc564962b
I. Yucel,Akkutlu,Professor,,Faculty Affiliate||Associate Professor,Energy Institute||Petroleum Engineering,https://scholars.library.tamu.edu/vivo/display/nee5a7059
Derya,Akleman,Instructional Professor,Dr. Akleman's research focuses on causal relations in economics and sciences.,Instructional Professor||Associate Dean for Diversity and College Climate,College of Science||Statistics,https://scholars.library.tamu.edu/vivo/display/n43ccd12e
Ergun,Akleman,Professor,"My research work is interdisciplinary, usually motivated by aesthetic concerns. I have published extensively in the areas of shape modeling, image synthesis, artistic depiction, image based lighting, texture and tiles, computer aided caricature, electrical engineering and computer aided architecture.",Professor,Visualization,https://scholars.library.tamu.edu/vivo/display/n6b6563cc
Fadhil,Al-Aboosi,Researcher,"Dr. Al-Aboosi has conducted research in the area of sustainable process design and optimization of integrated energy and water systems. Specifically, he has developed new approaches to the design, operation, integration and optimization of hybrid fossil/solar power plants and the integration of these plants within industrial facilities. The design objectives included economic, environmental, technical and safety metrics. These competing objectives must be reconciled and traded off using multi-objective optimization techniques while examining the impact of public policies on the energy portfolio.<br /><br />Recently, Dr. Al-Aboosi developed a stochastic optimization approach to handling diurnal variability and uncertainty of solar energy in the context of integration with fossil-based systems. Furthermore, hierarchical calculation methodologies have been developed to estimate solar irradiance values, which are necessary for the long-term evaluation to the techno-economic performance of solar energy conversion systems, for a specific location under different sky conditions. He has collaborated with the Petroleum Engineering Group at Texas A&M to develop a comprehensive model for acid jetting under field conditions that utilize the two-scale continuum model for describing acid reactive transport. Additionally, he has worked on the project of improving sustainability and energy performance of existing buildings through solar photovoltaic systems.",Faculty Affiliate,Gas and Fuels Research Center,https://scholars.library.tamu.edu/vivo/display/n62a3d25c
Mohammed,Al-Hashimi,Research Associate  Professor,"Dr. M. Al-Hashimi has extensive experience in organic polymers with a focus on the design and synthesis of organic semiconductor materials for a range of optoelectronic applications, including field effect transistors, photovoltaic devices, light emitting diodes and sensors. His other interests center on the development of well-defined novel polymeric materials for Ring Opening Metathesis Polymerisation (ROMP) and synthesis of recoverable, reusable homogeneous and heterogeneous catalysts.",Research Associate Professor||Faculty Affiliate,Science (Qatar)||Energy Institute,https://scholars.library.tamu.edu/vivo/display/n87f91e74
Dhabia,Al-Mohannadi,Assistant Professor,"Dr. Al-Mohannadi work focuses on the systematic design of sustainable industrial parks under carbon dioxide limits, resource management, and climate policies evaluation. Her work deals with multidisciplinary problems that involves different decision-making processes, engineering and economics. Her research leads to developing analytical tools that can assess flexibility, robustness, reliability of process systems at the design and operational level.",Assistant Professor,Texas A&M University at Qatar,https://scholars.library.tamu.edu/vivo/display/n0cbefd16
Ma'moun,Al-Rawashdeh,Assistant Professor,,Assistant Professor,Chemical Engineering (Qatar),https://scholars.library.tamu.edu/vivo/display/n0b4c88a7
Khalifa,Al-Sowidi,Professor of the Practice,,Professor of the Practice,Texas A&M University at Qatar,https://scholars.library.tamu.edu/vivo/display/n59378c6d
Olufemi,Alabi,Associate Professor & Extension Specialist,"I conduct translational studies that address immediate and long-term needs of growers and other stakeholders involved in the production of fruit and vegetable crops. My research program emphasizes virus discovery and characterization, genetic diversity and population genetics studies, and understanding of disease epidemiology. The overarching goal is to utilize the results of these studies to develop science-based disease management strategies.",Associate Professor & Extension Specialist,Plant Pathology and Microbiology,https://scholars.library.tamu.edu/vivo/display/n61ed5404
Khaldoun,Alajlouni,Adjunct Professor,,Adjunct Professor,Restorative Sciences,https://scholars.library.tamu.edu/vivo/display/nc8b9c066
Mohammad,Alam,Research Scientist - Faculty,,Research Scientist - Faculty,Process Engineering R&D Center,https://scholars.library.tamu.edu/vivo/display/ne76ea19b
Debra,Albert,TTI Associate Research Engineer,,TTI Associate Research Engineer,Texas A&M Transportation Institute (TTI),https://scholars.library.tamu.edu/vivo/display/n920fc1ea
Rafael,Aldrete,TTI Senior Research Scientist,,TTI Senior Research Scientist,San Antonio El Paso Region,https://scholars.library.tamu.edu/vivo/display/ne2367f47
Srinivasulu,Ale,Associate Professor,,Associate Professor,Vernon Research and Extension Center,https://scholars.library.tamu.edu/vivo/display/nbbb2c5a7
Allison,Alexander,Lecturer,,Lecturer,Psychological and Brain Sciences,https://scholars.library.tamu.edu/vivo/display/nda2a82d7
Gerianne,Alexander,Professor,My research focuses on the development of human sex differences in social and cognitive behavior; Hormonal influences on typical and atypical behavior across the lifespan; Reproductive endocrinology and behavior.,Faculty Fellow||Faculty Affiliate||Professor,Center for Health Systems and Design||Psychological and Brain Sciences||Institute for Engineering Education and Innovation,https://scholars.library.tamu.edu/vivo/display/nedf89e33
Gia,Alexander,Lecturer,,Lecturer,Petroleum Engineering,https://scholars.library.tamu.edu/vivo/display/n9be036a5
Joyce,Alexander,Dean,My primary research interest is focused on the precursors and longitudinal consequences of early interests in science-related fields.,Dean||Professor,Educational Psychology||College of Education and Human Development,https://scholars.library.tamu.edu/vivo/display/n0d3bf7fc
Lisa,Alexander,Professor,"At my most ambitious moments, I strive to become a public intellectual. I hope that my research in housing law, community development law and social entrepreneurship law will make a difference for people in their daily lives. I hope to identify how law can help communities develop in a more sustainable and equitable way, rather than in a manner that exacerbates existing inequalities.",Professor||Professor,Landscape Architecture and Urban Planning||School of Law,https://scholars.library.tamu.edu/vivo/display/n65425361
Michael,Alexander,Director Professional MBA Program and Lecturer,,Assistant Dean||Director Professional Mba Program and Lecturer,Mays Graduate Programs||Mays Business School,https://scholars.library.tamu.edu/vivo/display/n1b5d98af
Michael,Alexander,Lab Instructor,,Lab Instructor,Biology,https://scholars.library.tamu.edu/vivo/display/n92883507
Mary,Alfred,Professor and Associate Dean,,Professor,Educational Administration and Human Resource Development,https://scholars.library.tamu.edu/vivo/display/n84f6221f
Terry,Alfriend,University Distinguished Professor,,Professor,Aerospace Engineering,https://scholars.library.tamu.edu/vivo/display/n03ca1874
Daniel,Alge,Associate Professor,"My research is in biomaterials, with an emphasis on applications in tissue engineering and regenerative medicine.",Faculty Affiliate||Associate Professor,Biomedical Engineering||Institute for Engineering Education and Innovation,https://scholars.library.tamu.edu/vivo/display/n99feb009
Ahmed K.,Ali,Associate Professor,"Dr. Ahmed K. Ali received his Ph.D. in Architecture and Design Research from Virginia Tech in 2012. Dr. Ali joined the Architecture Department at Texas A&M University as an Assistant Professor in 2015. Dr. Ali teaches graduate and undergraduate courses in architectural design, building materials and construction, and building assemblies and tectonics. He developed two undergraduate and graduate courses in building materials and made significant curriculum changes to the Master of Architecture program in the materials and methods required NAAB accreditation criteria. Dr. Ali's research focuses on the role of design in the Circular Economy and industrial waste flows. He has received over $ 465,000 in research funding. Dr. Ali is a guest reviewer of several top-tier journals. He has obtained one provisional patent, written eight peer-reviewed journal articles, one book chapter, and fifteen papers in conference proceedings. He was the keynote speaker at the Scandinavian architecture conference PLAT18 in Sweden, and the Circular Economy Roundup at Austin Technology Incubator. Dr. Ali has chaired 2 doctoral committees, 17 master's committees, and served on 7 others. Dr. Ali received the J. Thomas Regan Interdisciplinary Prize in 2016, and the Architecture Research Centers Consortium New Researcher Award in 2018. Dr. Ali's work has been cited in numerous prestigious press including the Steven Holl Foundation's critical research archive, Bill Zahner's Steel Surfaces book by Wiley, General Motors Green, and Texas Architect Magazine.",Director // Resource-Based Design Research Lab (RBDR/Lab)||Associate Professor,Architecture||Architecture,https://scholars.library.tamu.edu/vivo/display/n5f664dc1
Hamed,Ali,Assistant Professor,"I am an Assistant Professor of Pharmaceutical Sciences at Texas A&M Rangel College of Pharmacy (RCOP). I obtained my Ph.D. at Okayama University, Japan, in 2007. Since that, I have acquired ample experience in drug discovery research. I completed more than 5 research grants (as PI, Co-PI, and Consultant), I received an initial grant (as PI) at RCOP funded by an international foundation, and recently, I got additional three grants (as PI and Co-PI). I have published more than 50 peer-reviewed articles in the field of Medicinal Chemistry and Computer-Aided Drug Discovery. I have served as an ad hoc reviewer for many scientific journals, as an active member of several scientific associations, and as a Chair of the Admission Committee at RCOP. Moreover, I have extensive experience in the teaching of Medicinal Chemistry and Drug Design for more than 25 years. During my teaching capacities, I received an excellent evaluation from Pharmacy students to get an honor of ""Teacher of the Year"" in 2017 and ""Teaching Team of the Year"" from 2013 to 2017 at RCOP.",Assistant Professor,Pharmaceutical Sciences,https://scholars.library.tamu.edu/vivo/display/n92575b4f
Cynthia,Alkon,Professor,"My research focuses on criminal dispute resolution (including plea bargaining), comparative criminal procedure and rule of law reform.",Professor,School of Law,https://scholars.library.tamu.edu/vivo/display/nd52832e1
Douglas,Allaire,Associate Professor,"My current research focuses on the development of computational methods for the analysis, design, and operation of complex systems.  I am specifically interested in aspects of uncertainty quantification, multidisciplinary design optimization, and compositional methods for simulation-based design.  I am currently working on projects involving the development of computational methods for enabling self-aware unmanned aerial vehicles, the development of optimal algorithms for multi-information source management in design, and the development of methods for enabling correct-by-construction model-based design processes.",Associate Professor,Mechanical Engineering,https://scholars.library.tamu.edu/vivo/display/n1c65ee7c
Angela,Allen,Instructional Assistant Professor,,Instructional Assistant Professor,Mathematics,https://scholars.library.tamu.edu/vivo/display/nb1e49f19
Charles,Allen,Professor and Extension Specialist,,Professor and Extension Specialist,Entomology,https://scholars.library.tamu.edu/vivo/display/n75725167
David,Allen,Senior Lecturer,"Dr. Allen's research is focused on the mechanics of inelastic solids, with emphasis on viscoelasticity, plasticity, viscoplasticity, computational mechanics, damage and fracture mechanics, and coupled thermal/structural field problems.",Adjunct Professor||Director||Senior Lecturer||TTI Senior Research Engineer,Civil Engineering||Ocean Engineering||Center for Railway Research||Center for Railway Research,https://scholars.library.tamu.edu/vivo/display/nff4ae0e5
George,Allen,Assistant Professor,,Assistant Professor,Geography,https://scholars.library.tamu.edu/vivo/display/na3e184d9
Gregg,Allen,Associate Professor,"My primary research interest focuses on the unique properties of neurons that generate circadian rhythms and the interactions between them that mediate their ability to coordinate molecular and physiological rhythms in tissues and, ultimately, regulate rhythmic behaviors. Using a combination of molecular, cellular, and behavioral analyses in the mouse model my research aims to identify how cells within the suprachiasmatic nucleus (SCN) of the anterior hypothalamus function as a biological clock in generating circadian output signals that synchronize rhythmic processes within diverse tissues throughout the body.",Associate Professor,Neuroscience and Experimental Therapeutics,https://scholars.library.tamu.edu/vivo/display/n014c3d0f
Natalie,Allen,Senior Lecturer,,Senior Lecturer,Accounting,https://scholars.library.tamu.edu/vivo/display/n3dc74351
Roland,Allen,Professor,,Professor,Physics and Astronomy,https://scholars.library.tamu.edu/vivo/display/n3e685bb1
Sarah,Allen,Clinical Assistant Professor,,Clinical Assistant Professor,Restorative Sciences,https://scholars.library.tamu.edu/vivo/display/nf441d103
William,Alley,TEES Researcher at TAMU-San Antonio,,TEES Researcher at TAMU-San Antonio||Assistant Professor of Chemistry,"Texas A&M University – San Antonio - (San Antonio, Txas, United States)||Texas A&M University – San Antonio - (San Antonio, Texas, United States)||TEES Regional Divisions",https://scholars.library.tamu.edu/vivo/display/n6885ef8c
Hussein,Alnuweiri,Professor,"Areas of specific interest include advanced computing structures, application-specific parallel and multi-processing architectures, configurable computing, high-speed digital design, parallel and distributed algorithms, wireless and sensor networks, scheduling theory, traffic engineering, and quality-of-service mechanisms in wired and wireless networks.",Maersk Oil Qatar Professor in STEM Leadership,Electrical and Computer Engineering (Qatar),https://scholars.library.tamu.edu/vivo/display/n2d08218e
Patricia,Alonso Ruiz,Assistant Professor,"My research revolves around Analysis and Probability; in particular I am interested in the interconnections between probabilistic, analytic and geometric aspects of stochastic processes on spaces with a rough structure. Mostly I work on diffusion processes and heat kernels on metric measure spaces with fractal-like features. I also study related equations of interest in mathematical physics.",Assistant Professor,Mathematics,https://scholars.library.tamu.edu/vivo/display/nc2d2b898
Ricardo,Alonso,Associate Professor,,Associate Professor||Associate Professor,Science (Qatar)||Texas A&M University at Qatar,https://scholars.library.tamu.edu/vivo/display/nc2c6a128
Armando,Alonzo,Associate Professor,"A native of the Lower Valley of Texas, professor Alonzo received his Ph.D. in History from Indiana University in 1991 and has taught at Southwest Texas State University and the University of Texas at San Antonio. His research interests are the history of Tejanos and Borderlands of Mexico and the U.S. He is the author of Tejano Legacy: Rancheros and Settlers in South Texas, 1734-1900, published by the University of New Mexico Press in 1998. With funding from the National Research Council, he is currently studying the history of Texas and Northern Mexico in the period 1700-1865.",Associate Professor,History,https://scholars.library.tamu.edu/vivo/display/n0300eb90
Joy,Alonzo,Clinical Assistant Professor,,Clinical Assistant Professor,Pharmacy Practice,https://scholars.library.tamu.edu/vivo/display/ne7b233c3
Juan,Alonzo,Associate Professor,"My area of concentration is 20th-century American literature and culture, with specialization in Chicano/a literature and film studies. I am interested in exploring literature and popular culture's engagements with modernity. My current research examines literary and cinematic representation of ethnic identities, from the turn-of-the-century to the present.",Associate Professor,English,https://scholars.library.tamu.edu/vivo/display/nd45a79d7
